topic|subtopic|project
(13)  สำนักการจราจรและขนส่ง|แผนงานพัฒนาการใช้ที่ดินและระบบจราจร|39. โครงการจัดหาพร้อมติดตั้งกล้องโทรทัศน์วงจรปิด!!(CCTV) เพื่อเพิ่มความปลอดภัยบริเวณพื้นที่สุ่มเสี่ยง!!!ต่อการเกิดอาชญากรรมในพื้นที่กลุ่มกรุงเทพตะวันออก        12,302,200 บาท!
(13)  สำนักการจราจรและขนส่ง|แผนงานพัฒนาการใช้ที่ดินและระบบจราจร|40. โครงการจัดหาพร้อมติดตั้งกล้องโทรทัศน์วงจรปิด!!(CCTV) เพื่อเพิ่มความปลอดภัยบริเวณพื้นที่สุ่มเสี่ยง!!ต่อการเกิดอาชญากรรมในพื้นที่กลุ่มกรุงเทพเหนือ             12,176,600 บาท!
(13)  สำนักการจราจรและขนส่ง|แผนงานพัฒนาการใช้ที่ดินและระบบจราจร|41. โครงการจัดหาพร้อมติดตั้งกล้องโทรทัศน์วงจรปิด!!(CCTV) เพื่อเพิ่มความปลอดภัยบริเวณพื้นที่สุ่มเสี่ยง!!ต่อการเกิดอาชญากรรมในพื้นที่กลุ่มกรุงธนใต้                 12,176,600 บาท!
(13)  สำนักการจราจรและขนส่ง|แผนงานพัฒนาการใช้ที่ดินและระบบจราจร|42. โครงการจัดหาพร้อมติดตั้งกล้องโทรทัศน์วงจรปิด!!(CCTV) เพื่อเพิ่มความปลอดภัยบริเวณพื้นที่สุ่มเสี่ยง!!ต่อการเกิดอาชญากรรมในพื้นที่กลุ่มกรุงเทพใต้                12,365,000 บาท!
(13)  สำนักการจราจรและขนส่ง|แผนงานพัฒนาการใช้ที่ดินและระบบจราจร|43. โครงการจัดหาพร้อมติดตั้งกล้องโทรทัศน์วงจรปิด!!(CCTV) เพื่อเพิ่มความปลอดภัยบริเวณพื้นที่สุ่มเสี่ยง!!ต่อการเกิดอาชญากรรมในพื้นที่กลุ่มกรุงธนเหนือ              12,239,400 บาท!
(13)  สำนักการจราจรและขนส่ง|แผนงานพัฒนาการใช้ที่ดินและระบบจราจร|44. โครงการเพิ่มประสิทธิภาพระบบเครือข่าย!!สำนักการจราจรและขนส่ง                                   19,757,800 บาท!
(13)  สำนักการจราจรและขนส่ง|แผนงานพัฒนาการใช้ที่ดินและระบบจราจร|45. โครงการจัดหาพร้อมติดตั้งระบบตรวจสอบสถานะ!สายเคเบิลเส้นใยนำแสง (Fiber Optic) แบบอัตโนมัติ!!พร้อมระบบสนับสนุนการซ่อมการบำรุง                       29,533,600 บาท!
(14)  สำนักป้องกันและบรรเทาสาธารณภัย|แผนงานป้องกันและบรรเทาสาธารณภัย|งานบริหารทั่วไปด้านการพัฒนาและบริการสังคม              48,956,100 บาท!!ข.  แผนงานป้องกันและบรรเทาสาธารณภัย                                      !375,970,920 บาท!
(14)  สำนักป้องกันและบรรเทาสาธารณภัย|แผนงานป้องกันและบรรเทาสาธารณภัย|1.  งานยุทธศาสตร์การป้องกันสาธารณภัย                   95,190,500 บาท!!2.  โครงการก่อสร้างศูนย์ฝึกอบรมดับเพลิงและกู้ภัย!!กรุงเทพมหานคร ระยะที่ 1                                   10,000,000 บาท!
(14)  สำนักป้องกันและบรรเทาสาธารณภัย|แผนงานป้องกันและบรรเทาสาธารณภัย|3.  งานอำนวยการสาธารณภัย                              66,879,000 บาท!!!4.  งานปฏิบัติการดับเพลิง                                 149,561,420 บาท!
(14)  สำนักป้องกันและบรรเทาสาธารณภัย|แผนงานป้องกันและบรรเทาสาธารณภัย|5.  โครงการจัดหารถยนต์ปฏิบัติการกู้ภัยและช่วยชีวิต!!จากอาคารถล่ม                                               1,000,000 บาท!
(14)  สำนักป้องกันและบรรเทาสาธารณภัย|แผนงานป้องกันและบรรเทาสาธารณภัย|6.  โครงการก่อสร้างอาคารสถานีดับเพลิงทุ่งมหาเมฆ         27,840,000 บาท!!7.  โครงการก่อสร้างสถานีดับเพลิงบางบอน                   4,000,000 บาท!
(14)  สำนักป้องกันและบรรเทาสาธารณภัย|แผนงานป้องกันและบรรเทาสาธารณภัย|8.  โครงการปรับปรุงสถานีดับเพลิงสามเสน                  16,000,000 บาท!!9.  โครงการจัดหารถจักรยานยนต์ดับเพลิง                    5,500,000 บาท!
(15)  สำนักงบประมาณกรุงเทพมหานคร|แผนงานบริหารการคลัง|งานบริหารทั่วไป                                             41,802,900 บาท!!ข.  แผนงานบริหารการคลัง                                                      !61,603,100 บาท!
(16)  สำนักยุทธศาสตร์และประเมินผล|แผนงานบริหารการคลัง|งานงบประมาณ                                             61,603,100 บาท!!(16)  สำนักยุทธศาสตร์และประเมินผล                                         รวม  !     706,753,000 บาท!
(16)  สำนักยุทธศาสตร์และประเมินผล|แผนงานส่งเสริมระบบบริหาร|งานบริหารทั่วไป                                             17,628,300 บาท!!ข.  แผนงานส่งเสริมระบบบริหาร                                               !663,090,300 บาท!
(16)  สำนักยุทธศาสตร์และประเมินผล|แผนงานส่งเสริมระบบบริหาร|1.  งานพัฒนาระบบงานคอมพิวเตอร์                       116,304,400 บาท!!2.  โครงการพัฒนาระบบบริหารจัดการเพื่อการวิเคราะห์!!ฐานข้อมูลขนาดใหญ่                                         26,160,000 บาท!
(16)  สำนักยุทธศาสตร์และประเมินผล|แผนงานส่งเสริมระบบบริหาร|3.  โครงการจัดทำระบบฐานข้อมูลฝึกอบรม และระบบ!พัฒนาศักยภาพบุคลากรของกรุงเทพมหานคร!ด้วยการเรียนรู้ผ่านสื่ออิเล็กทรอนิกส์                          11,920,000 บาท!
(16)  สำนักยุทธศาสตร์และประเมินผล|แผนงานส่งเสริมระบบบริหาร|4.  โครงการพัฒนาระบบยืนยันและตรวจสอบตัวบุคคล!!ในระบบดิจิทัล                                               28,200,000 บาท!
(16)  สำนักยุทธศาสตร์และประเมินผล|แผนงานส่งเสริมระบบบริหาร|5.  โครงการพัฒนาระบบบริการภาครัฐ                      16,040,000 บาท!!6.  งานควบคุมระบบคอมพิวเตอร์                          362,255,500 บาท!
(16)  สำนักยุทธศาสตร์และประเมินผล|แผนงานส่งเสริมระบบบริหาร|7.  โครงการปรับปรุงระบบเครือข่ายสื่อสารภายใน!!ของสำนักงานเขต                                            35,000,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานพัฒนาการใช้ที่ดินและระบบจราจร|งานสารสนเทศภูมิศาสตร์                                    26,034,400 บาท!!(17)  สำนักสิ่งแวดล้อม                                                       !รวม     7,542,229,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานพัฒนาและส่งเสริม|งานบริหารทั่วไปด้านการรักษาความสะอาด                   75,096,550 บาท!!ข.  แผนงานพัฒนาและส่งเสริม                                                  !53,280,813 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานพัฒนาและส่งเสริม|1.  งานนโยบายและแผนงาน                                19,180,813 บาท!!2.  โครงการจ้างเหมาพัฒนาระบบสารสนเทศ!!บริหารจัดการข้อมูลมูลฝอยของกรุงเทพมหานคร              34,100,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|1.  งานกำจัดมูลฝอย                                      174,915,650 บาท!!2.  โครงการจ้างเหมาเอกชนกำจัดมูลฝอยโดยระบบ!เตาเผามูลฝอยขนาด 300 ตันต่อวัน ที่ศูนย์กำจัดมูลฝอย!!หนองแขม                                                 152,025,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|3.  โครงการจ้างเหมาเอกชนเดินเครื่องจักรและอุปกรณ์!!กำจัดมูลฝอยขนาดไม่น้อยกว่า 600 ตันต่อวัน!!ที่ศูนย์กำจัดมูลฝอยอ่อนนุช                                 145,624,100 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|4.  โครงการจ้างเหมาเอกชนขนมูลฝอยจากศูนย์!!กำจัดมูลฝอยอ่อนนุชและนำไปทำลายโดยวิธีฝังกลบ!!อย่างถูกสุขลักษณะ                                         704,949,023 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|5.  โครงการจ้างเหมาเอกชนขนมูลฝอย จากศูนย์!!กำจัดมูลฝอยสายไหมและนำไปทำลายโดยวิธีฝังกลบ!!!อย่างถูกสุขลักษณะ                                         587,193,800 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|6.  โครงการจ้างเหมาเอกชนเดินระบบบำบัดน้ำเสีย!!ศูนย์กำจัดมูลฝอยสายไหม ระยะที่ 3                          23,524,250 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|7.  โครงการจ้างเหมาเอกชนเดินเครื่องจักร!!โรงงานกำจัดมูลฝอยขนาด 1,000 ตันต่อวัน!!ที่ศูนย์กำจัดมูลฝอยอ่อนนุช ระยะที่ 3                       237,308,400 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|8.  โครงการจ้างเหมาเอกชนเดินระบบ!!บำบัดน้ำเสียศูนย์กำจัดมูลฝอยอ่อนนุช                        74,293,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|9.  โครงการจ้างเหมาเอกชนกำจัดมูลฝอยอันตราย!!ระยะที่ 4                                                     8,701,600 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|10. โครงการจ้างเหมาเอกชนเก็บขนและกำจัดมูลฝอย!ติดเชื อที่ศูนย์กำจัดมูลฝอยหนองแขมและอ่อนนุช!!ระยะที่ 3                                                  180,310,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|11. โครงการจัดหาเตาเผามูลฝอยติดเชื อขนาดไม่ต่ำกว่า!!15 ตันต่อเตา จำนวน 2 เตา พร้อมติดตั้งเครื่องจักร!!และอุปกรณ์ที่ศูนย์กำจัดมูลฝอยอ่อนนุช                       81,452,710 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|12. โครงการจ้างเหมาเอกชนขนมูลฝอยจากศูนย์!กำจัดมูลฝอยหนองแขมและนำไปฝังกลบ!!อย่างถูกหลักสุขาภิบาล                                     868,700,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|13. โครงการจัดหาระบบบำบัดน้ำเสีย ขนาดไม่น้อยกว่า!!800 ลูกบาศก์เมตรต่อวัน พร้อมติดตั้งเครื่องจักร!!และอุปกรณ์ที่ศูนย์กำจัดมูลฝอยหนองแขม                   100,000,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|14. โครงการก่อสร้างดาดท้องคลองภายในศูนย์!!กำจัดมูลฝอยอ่อนนุช                                         40,000,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|15. โครงการก่อสร้างถนน ทางเท้าและระบบระบายน้ำ!!ภายในศูนย์กำจัดมูลฝอยอ่อนนุช                             25,000,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|16. โครงการจ้างเหมาเอกชนขนมูลฝอยจากสถานี!ขนถ่ายมูลฝอยรัชวิภาและนำส่งไปกำจัดที่ศูนย์!!กำจัดมูลฝอยของกรุงเทพมหานคร                            30,000,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|17. โครงการจ้างเหมาเอกชนขนมูลฝอยจากศูนย์!กำจัดมูลฝอยสายไหมและนำไปฝังกลบ!!!อย่างถูกหลักสุขาภิบาล                                        1,000,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|18. โครงการจ้างเหมาเอกชนขนมูลฝอยจากศูนย์!กำจัดมูลฝอยอ่อนนุชและนำไปฝังกลบ!!อย่างถูกหลักสุขาภิบาล                                        1,000,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|19. โครงการจ้างเหมาเอกชนเดินระบบบำบัดน้ำเสีย!!ศูนย์กำจัดมูลฝอยสายไหม                                     1,000,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|20. โครงการจ้างเหมาเอกชนกำจัดมูลฝอยอันตราย             1,000,000 บาท!!21. โครงการจ้างเหมาเอกชนเก็บขนและกำจัด!มูลฝอยติดเชื อ ที่ศูนย์กำจัดมูลฝอยหนองแขม!!และอ่อนนุช                                                  1,000,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|23. โครงการเช่ารถเก็บขนมูลฝอยแบบอัด ขนาด 5 ตัน!!ระยะที่ 5                                                  118,464,214 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|24. โครงการเช่ารถเก็บขนมูลฝอยแบบอัด ขนาด 5 ตัน!!ระยะที่ 6                                                    98,312,340 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|25. โครงการเช่ารถเก็บขนมูลฝอยแบบอัด ขนาด 2 ตัน!!ระยะที่ 3                                                    29,318,430 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|26. โครงการเช่ารถเก็บขนมูลฝอยแบบยกภาชนะ!!รองรับมูลฝอยขนาด 8 ลบ.ม. ระยะที่ 2                       31,027,920 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|27. โครงการจัดหารถเก็บขนมูลฝอยพื้นที่ฝั่งสายไหม         182,432,000 บาท!!28. โครงการเช่ารถเก็บขนมูลฝอยแบบอัด ขนาด 5 ตัน!!ระยะที่ 7                                                  209,635,500 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|29. โครงการเช่ารถเก็บขนมูลฝอยเพื่อเพิ่มประสิทธิภาพ!!การเก็บขนมูลฝอยในพื้นที่กรุงเทพมหานคร                  132,590,100 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|30. โครงการเช่ารถเก็บขนมูลฝอยแบบกระบะเทท้าย!!ขนาด 6 ตัน ระยะที่ 2                                      108,524,200 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|31. โครงการจ้างเหมาเอกชนควบคุมโรงงานกำจัดไขมัน!!และแปรรูปไขมันที่ศูนย์กำจัดมูลฝอยอ่อนนุช                  29,408,900 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|32. โครงการจ้างเหมาเอกชนควบคุมโรงงานกำจัดไขมัน!!และแปรรูปไขมันที่ศูนย์กำจัดมูลฝอยหนองแขม               29,438,500 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|33. โครงการจ้างเหมาเอกชนควบคุมโรงงานกำจัด!!สิ่งปฏิกูลหนองแขม ระยะที่ 5                                50,332,400 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|34. โครงการจ้างเหมาเอกชนควบคุมโรงงานกำจัด!!สิ่งปฏิกูลอ่อนนุช ระยะที่ 2                                   35,183,300 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|35. โครงการเช่ารถกวาดดูดฝุ่นเพื่อทำความสะอาดถนน!!ตรอก ซอย ในพื้นที่กรุงเทพมหานคร                        216,720,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|36. โครงการเช่ารถเก็บขนมูลฝอยแบบยกภาชนะ!!รองรับมูลฝอย ขนาด 3 ลบ.ม.                                71,354,400 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|37. โครงการเช่ารถเก็บขนมูลฝอยแบบอัด ขนาด 2 ตัน        96,016,100 บาท!!38. โครงการเช่ารถเก็บขนมูลฝอยแบบยกภาชนะ!!รองรับมูลฝอย ขนาด 8 ลบ.ม.                                79,351,100 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|39. โครงการเช่ารถเก็บขนมูลฝอยแบบอัด ขนาด 5 ตัน      219,340,800 บาท!!40. โครงการเช่ารถเก็บขนมูลฝอยแบบอัด ขนาด 5 ตัน!!จำนวน 297 คัน                                              1,000,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|41. โครงการจ้างเหมาเอกชนควบคุมโรงงานกำจัด!!สิ่งปฏิกูลหนองแขม ระยะที่ 6                                  1,000,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|42. โครงการจ้างเหมาเอกชนควบคุมโรงงานกำจัด!!สิ่งปฏิกูลอ่อนนุช ระยะที่ 3                                    1,000,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|43. โครงการจัดหารถฉีดพ่นน้ำอเนกประสงค์!!พร้อมอุปกรณ์                                                 1,000,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|44. โครงการเช่ารถเก็บขนมูลฝอย 2 ขนาด!!จำนวน 239 คัน                                              1,000,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|45. โครงการเช่ารถเก็บขนมูลฝอยแบบอัด ขนาด 2 ตัน!!จำนวน 185 คัน                                              1,000,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|46. โครงการจัดหารถเก็บขนมูลฝอยแบบยกภาชนะ!รองรับมูลฝอย ขนาด 8 ลบ.ม. พร้อมภาชนะ!!รองรับมูลฝอย                                                1,000,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานรักษาความสะอาด|47. โครงการจัดหารถบรรทุก (ดีเซล) ขนาด 6 ตัน!!6 ล้อ ปริมาตรกระบอกสูบไม่ต่ำกว่า 6,000 ซีซี!!หรือกำลังเครื่องยนต์สูงสุดไม่ต่ำกว่า 170 กิโลวัตต์!!แบบกระบะเทท้าย                                            1,000,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานพัฒนาสภาวะสิ่งแวดล้อม|1.  งานบริหารสวนสาธารณะ                            1,052,062,900 บาท!!2.  โครงการเช่ารถบรรทุกน้ำอเนกประสงค์ ระยะที่ 3       176,749,400 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานพัฒนาสภาวะสิ่งแวดล้อม|3.  โครงการเช่ารถบรรทุกน้ำอเนกประสงค์ ระยะที่ 4         96,448,400 บาท!!!4.  โครงการก่อสร้างสวนสาธารณะภายในสถานีพัฒนา!!ที่ดินกรุงเทพมหานคร(ถนนบางขุนเทียนชายทะเล)              5,000,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานพัฒนาสภาวะสิ่งแวดล้อม|5.  โครงการปรับปรุงสวนวารีภิรมย์                          17,361,000 บาท!!6.  โครงการก่อสร้างสวนสาธารณะบริเวณทางแยก!!ต่างระดับถนนร่มเกล้ากับถนนเจ้าคุณทหาร                   30,000,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานพัฒนาสภาวะสิ่งแวดล้อม|7.  โครงการจัดหารถบรรทุก (ดีเซล) ขนาด 6 ตัน!!6 ล้อ ปริมาตรกระบอกสูบไม่ต่ำกว่า 6,000 ซีซี!!หรือกำลังเครื่องยนต์สูงสุดไม่ต่ำกว่า 170 กิโลวัตต์!แบบบรรทุกน้ำ พร้อมติดตั้งระบบฉีดน้ำแรงดันสูง!!และอุปกรณ์ฉีดน้ำแบบละอองน้ำ                              1,000,000 บาท!
(17)  สำนักสิ่งแวดล้อม|แผนงานพัฒนาสภาวะสิ่งแวดล้อม|8.  โครงการปรับปรุงสาธารณูปโภคและอาคารสถานที่!!ภายในสวนลุมพินี                                            13,460,000 บาท!
(18)  สำนักวัฒนธรรม กีฬาและการท่องเที่ยว|แผนงานบริการสังคม|งานบริหารทั่วไปด้านการพัฒนาและบริการสังคม              70,225,400 บาท!!ข.  แผนงานบริการสังคม                                                       !681,076,700 บาท!
(18)  สำนักวัฒนธรรม กีฬาและการท่องเที่ยว|แผนงานบริการสังคม|1.  งานนโยบายและแผนงาน                                 8,790,100 บาท!!2.  งานศูนย์เยาวชนกรุงเทพมหานคร(ไทย-ญี่ปุ่น)             75,168,500 บาท!
(18)  สำนักวัฒนธรรม กีฬาและการท่องเที่ยว|แผนงานบริการสังคม|3.  งานการสังคีต                                           47,875,000 บาท!!4.  งานนันทนาการและส่งเสริมการเรียนรู้                  535,675,100 บาท!
(18)  สำนักวัฒนธรรม กีฬาและการท่องเที่ยว|แผนงานการท่องเที่ยว|5.  โครงการก่อสร้างศูนย์เยาวชนวัดดอกไม้                  13,568,000 บาท!!ค.  แผนงานการท่องเที่ยว                                                       !81,099,400 บาท!
(18)  สำนักวัฒนธรรม กีฬาและการท่องเที่ยว|แผนงานการกีฬา|งานวัฒนธรรมและการท่องเที่ยว                              81,099,400 บาท!!ง.  แผนงานการกีฬา                                                           !564,973,100 บาท!
(18)  สำนักวัฒนธรรม กีฬาและการท่องเที่ยว|แผนงานการกีฬา|1.  งานการกีฬา                                           538,781,100 บาท!!2.  โครงการปรับปรุงศูนย์กีฬาเฉลิมพระเกียรติ!!84 พรรษา (บางบอน)                                        26,192,000 บาท!
(19)  สำนักพัฒนาสังคม|แผนงานบริการสังคม|งานบริหารทั่วไปด้านการพัฒนาและบริการสังคม              22,941,600 บาท!!ข.  แผนงานบริการสังคม                                                        !66,178,000 บาท!
(19)  สำนักพัฒนาสังคม|แผนงานพัฒนาชุมชน|งานสวัสดิการสังคม                                          66,178,000 บาท!!ค.  แผนงานพัฒนาชุมชน                                                        !80,444,700 บาท!
(19)  สำนักพัฒนาสังคม|แผนงานพัฒนาชุมชน|1.  งานพัฒนาชุมชน                                        61,535,900 บาท!!2.  งานนโยบายและแผนงาน                                18,908,800 บาท!
(19)  สำนักพัฒนาสังคม|แผนงานส่งเสริมอาชีพ|1.  งานส่งเสริมอาชีพ                                       45,360,200 บาท!!2.  งานส่งเสริมอาชีพการเกษตร                             11,273,900 บาท!
(20)  สำนักการวางผังและพัฒนาเมือง|แผนงานส่งเสริมอาชีพ|3.  งานการศึกษาอาชีพ                                    198,586,600 บาท!!(20)  สำนักการวางผังและพัฒนาเมือง                                         รวม  !     316,341,000 บาท!
(20)  สำนักการวางผังและพัฒนาเมือง|แผนงานพัฒนาการใช้ที่ดินและระบบจราจร|งานบริหารทั่วไปด้านการโยธาและระบบจราจร               25,886,500 บาท!!ข.  แผนงานพัฒนาการใช้ที่ดินและระบบจราจร                                   !290,454,500 บาท!
(20)  สำนักการวางผังและพัฒนาเมือง|แผนงานพัฒนาการใช้ที่ดินและระบบจราจร|1.  งานผังเมือง                                            173,346,800 บาท!!2.  โครงการปรับปรุงป้อมมหากาฬและกำแพงเมืองเก่า       20,089,500 บาท!
(20)  สำนักการวางผังและพัฒนาเมือง|แผนงานพัฒนาการใช้ที่ดินและระบบจราจร|3.  โครงการปรับปรุงภูมิทัศน์ ทางสัญจรบนโครงสร้าง!สะพานข้ามแม่น้ำเจ้าพระยา บริเวณช่องกลาง!!สะพานพระปกเกล้า                                          70,869,000 บาท!
(20)  สำนักการวางผังและพัฒนาเมือง|แผนงานพัฒนาการใช้ที่ดินและระบบจราจร|4.  โครงการปรับปรุงภูมิทัศน์ย่านกะดีจีน                    11,663,000 บาท!!5.  งานนโยบายและแผนงาน                                14,486,200 บาท!
(21)  สำนักงานเขตพระนคร|แผนงานบริหารงานปกครองและทะเบียน|1.  งานปกครอง                                          18,641,500 บาท!!2.  งานทะเบียน                                           7,398,500 บาท!
(21)  สำนักงานเขตพระนคร|แผนงานบริหารการคลัง|1.  งานบริหารการคลัง                                     6,045,800 บาท!!2.  งานบริหารการจัดเก็บรายได้                            4,630,300 บาท!
(21)  สำนักงานเขตพระนคร|แผนงานรักษาความเป็นระเบียบเรียบร้อย|งานรักษาความสะอาด                                   192,224,300 บาท!!ง.  แผนงานรักษาความเป็นระเบียบเรียบร้อย                                    !73,902,900 บาท!
(21)  สำนักงานเขตพระนคร|แผนงานการโยธา|งานบริหารและบังคับการเทศกิจ                           73,902,900 บาท!!จ.  แผนงานการโยธา                                                          !13,901,000 บาท!
(21)  สำนักงานเขตพระนคร|แผนงานจัดการระบายน้ำและแก้ไขปัญหาน้ำท่วม|งานการโยธา                                              13,901,000 บาท!!ฉ.  แผนงานจัดการระบายน้ำและแก้ไขปัญหาน้ำท่วม                              !8,121,900 บาท!
(21)  สำนักงานเขตพระนคร|แผนงานพัฒนาสภาวะสิ่งแวดล้อม|งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม                   8,121,900 บาท!!ช.  แผนงานพัฒนาสภาวะสิ่งแวดล้อม                                           !26,083,100 บาท!
(21)  สำนักงานเขตพระนคร|แผนงานพัฒนาชุมชน|งานปลูกและบำรุงรักษาต้นไม้                              26,083,100 บาท!!ซ.  แผนงานพัฒนาชุมชน                                                      !11,621,000 บาท!
(21)  สำนักงานเขตพระนคร|แผนงานอนามัยสิ่งแวดล้อม|งานพัฒนาชุมชน                                          11,621,000 บาท!!ฌ. แผนงานอนามัยสิ่งแวดล้อม                                                  !6,791,400 บาท!
(21)  สำนักงานเขตพระนคร|แผนงานบริหารการศึกษา|งานควบคุมอนามัย                                         6,791,400 บาท!!ญ. แผนงานบริหารการศึกษา                                                   !43,502,300 บาท!
(22)  สำนักงานเขตป้อมปราบศัตรูพ่าย|แผนงานบริหารการศึกษา|งานบริหารการศึกษา                                      43,502,300 บาท!!(22)  สำนักงานเขตป้อมปราบศัตรูพ่าย                                       รวม   !     252,196,000 บาท!
(22)  สำนักงานเขตป้อมปราบศัตรูพ่าย|แผนงานบริหารงานปกครองและทะเบียน|1.  งานปกครอง                                          22,471,700 บาท!!2.  งานทะเบียน                                           7,740,000 บาท!
(22)  สำนักงานเขตป้อมปราบศัตรูพ่าย|แผนงานบริหารการคลัง|1.  งานบริหารการคลัง                                     5,210,200 บาท!!2.  งานบริหารการจัดเก็บรายได้                            3,844,600 บาท!
(22)  สำนักงานเขตป้อมปราบศัตรูพ่าย|แผนงานรักษาความเป็นระเบียบเรียบร้อย|งานรักษาความสะอาด                                   113,250,200 บาท!!ง.  แผนงานรักษาความเป็นระเบียบเรียบร้อย                                    !28,603,000 บาท!
(22)  สำนักงานเขตป้อมปราบศัตรูพ่าย|แผนงานการโยธา|งานบริหารและบังคับการเทศกิจ                           28,603,000 บาท!!จ.  แผนงานการโยธา                                                          !13,342,100 บาท!
(22)  สำนักงานเขตป้อมปราบศัตรูพ่าย|แผนงานจัดการระบายน้ำและแก้ไขปัญหาน้ำท่วม|งานการโยธา                                              13,342,100 บาท!!ฉ.  แผนงานจัดการระบายน้ำและแก้ไขปัญหาน้ำท่วม                              !5,315,100 บาท!
(22)  สำนักงานเขตป้อมปราบศัตรูพ่าย|แผนงานพัฒนาสภาวะสิ่งแวดล้อม|งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม                   5,315,100 บาท!!ช.  แผนงานพัฒนาสภาวะสิ่งแวดล้อม                                           !14,131,200 บาท!
(22)  สำนักงานเขตป้อมปราบศัตรูพ่าย|แผนงานพัฒนาชุมชน|งานปลูกและบำรุงรักษาต้นไม้                              14,131,200 บาท!!ซ.  แผนงานพัฒนาชุมชน                                                      !13,499,900 บาท!
